LSOA_CODE,Geog
E01000001,Inland
E01000002,Inland
E01000003,Inland
E01000005,Inland
E01000006,Inland
E01000007,Inland
E01000008,Inland
E01000009,Inland
E01000010,Inland
E01000011,Inland
E01000012,Inland
E01000013,Inland
E01000014,Inland
E01000015,Inland
E01000016,Inland
E01000017,Inland
E01000018,Inland
E01000019,Inland
E01000020,Inland
E01000021,Inland
E01000022,Inland
E01000023,Inland
E01000024,Inland
E01000025,Inland
E01000027,Inland
E01000028,Inland
E01000029,Inland
E01000030,Inland
E01000031,Inland
E01000032,Inland
E01000033,Inland
E01000034,Inland
E01000035,Inland
E01000036,Inland
E01000037,Inland
E01000038,Inland
E01000039,Inland
E01000040,Inland
E01000041,Inland
E01000042,Inland
E01000043,Inland
E01000044,Inland
E01000045,Inland
E01000046,Inland
E01000048,Inland
E01000049,Inland
E01000050,Inland
E01000051,Inland
E01000052,Inland
E01000053,Inland
E01000054,Inland
E01000055,Inland
E01000056,Inland
E01000057,Inland
E01000058,Inland
E01000059,Inland
E01000060,Inland
E01000061,Inland
E01000062,Inland
E01000063,Inland
E01000064,Inland
E01000065,Inland
E01000066,Inland
E01000067,Inland
E01000068,Inland
E01000069,Inland
E01000070,Inland
E01000071,Inland
E01000072,Inland
E01000073,Inland
E01000074,Inland
E01000075,Inland
E01000076,Inland
E01000077,Inland
E01000078,Inland
E01000079,Inland
E01000080,Inland
E01000081,Inland
E01000082,Inland
E01000083,Inland
E01000084,Inland
E01000085,Inland
E01000086,Inland
E01000087,Inland
E01000088,Inland
E01000089,Inland
E01000090,Inland
E01000091,Inland
E01000092,Inland
E01000093,Inland
E01000094,Inland
E01000095,Inland
E01000096,Inland
E01000097,Inland
E01000098,Inland
E01000099,Inland
E01000100,Inland
E01000101,Inland
E01000102,Inland
E01000103,Inland
E01000104,Inland
E01000105,Inland
E01000106,Inland
E01000107,Inland
E01000108,Inland
E01000109,Inland
E01000110,Inland
E01000111,Inland
E01000112,Inland
E01000113,Inland
E01000114,Inland
E01000115,Inland
E01000116,Inland
E01000117,Inland
E01000118,Inland
E01000119,Inland
E01000120,Inland
E01000121,Inland
E01000122,Inland
E01000123,Inland
E01000124,Inland
E01000125,Inland
E01000126,Inland
E01000127,Inland
E01000128,Inland
E01000129,Inland
E01000130,Inland
E01000131,Inland
E01000132,Inland
E01000133,Inland
E01000134,Inland
E01000135,Inland
E01000136,Inland
E01000137,Inland
E01000138,Inland
E01000139,Inland
E01000140,Inland
E01000141,Inland
E01000142,Inland
E01000143,Inland
E01000144,Inland
E01000145,Inland
E01000146,Inland
E01000147,Inland
E01000148,Inland
E01000150,Inland
E01000151,Inland
E01000152,Inland
E01000153,Inland
E01000154,Inland
E01000155,Inland
E01000156,Inland
E01000157,Inland
E01000158,Inland
E01000159,Inland
E01000160,Inland
E01000161,Inland
E01000162,Inland
E01000163,Inland
E01000164,Inland
E01000165,Inland
E01000166,Inland
E01000167,Inland
E01000168,Inland
E01000169,Inland
E01000170,Inland
E01000171,Inland
E01000172,Inland
E01000173,Inland
E01000174,Inland
E01000175,Inland
E01000176,Inland
E01000177,Inland
E01000178,Inland
E01000179,Inland
E01000180,Inland
E01000181,Inland
E01000182,Inland
E01000183,Inland
E01000184,Inland
E01000185,Inland
E01000186,Inland
E01000187,Inland
E01000188,Inland
E01000189,Inland
E01000190,Inland
E01000191,Inland
E01000192,Inland
E01000193,Inland
E01000194,Inland
E01000195,Inland
E01000196,Inland
E01000197,Inland
E01000198,Inland
E01000199,Inland
E01000200,Inland
E01000201,Inland
E01000202,Inland
E01000203,Inland
E01000204,Inland
E01000205,Inland
E01000206,Inland
E01000207,Inland
E01000208,Inland
E01000209,Inland
E01000210,Inland
E01000211,Inland
E01000212,Inland
E01000213,Inland
E01000214,Inland
E01000215,Inland
E01000216,Inland
E01000217,Inland
E01000218,Inland
E01000219,Inland
E01000220,Inland
E01000221,Inland
E01000222,Inland
E01000223,Inland
E01000224,Inland
E01000225,Inland
E01000226,Inland
E01000227,Inland
E01000228,Inland
E01000229,Inland
E01000230,Inland
E01000231,Inland
E01000232,Inland
E01000233,Inland
E01000234,Inland
E01000235,Inland
E01000236,Inland
E01000237,Inland
E01000238,Inland
E01000239,Inland
E01000240,Inland
E01000241,Inland
E01000242,Inland
E01000243,Inland
E01000244,Inland
E01000245,Inland
E01000246,Inland
E01000247,Inland
E01000248,Inland
E01000249,Inland
E01000250,Inland
E01000251,Inland
E01000252,Inland
E01000253,Inland
E01000254,Inland
E01000255,Inland
E01000256,Inland
E01000257,Inland
E01000258,Inland
E01000259,Inland
E01000260,Inland
E01000261,Inland
E01000262,Inland
E01000263,Inland
E01000264,Inland
E01000265,Inland
E01000266,Inland
E01000267,Inland
E01000268,Inland
E01000269,Inland
E01000270,Inland
E01000271,Inland
E01000272,Inland
E01000273,Inland
E01000274,Inland
E01000275,Inland
E01000276,Inland
E01000277,Inland
E01000278,Inland
E01000279,Inland
E01000280,Inland
E01000281,Inland
E01000282,Inland
E01000283,Inland
E01000284,Inland
E01000285,Inland
E01000286,Inland
E01000287,Inland
E01000288,Inland
E01000289,Inland
E01000290,Inland
E01000291,Inland
E01000292,Inland
E01000293,Inland
E01000294,Inland
E01000295,Inland
E01000296,Inland
E01000297,Inland
E01000298,Inland
E01000299,Inland
E01000300,Inland
E01000301,Inland
E01000302,Inland
E01000303,Inland
E01000304,Inland
E01000305,Inland
E01000306,Inland
E01000307,Inland
E01000308,Inland
E01000309,Inland
E01000310,Inland
E01000311,Inland
E01000312,Inland
E01000313,Inland
E01000314,Inland
E01000315,Inland
E01000316,Inland
E01000317,Inland
E01000318,Inland
E01000319,Inland
E01000320,Inland
E01000321,Inland
E01000322,Inland
E01000323,Inland
E01000324,Inland
E01000325,Inland
E01000326,Inland
E01000327,Inland
E01000328,Inland
E01000329,Inland
E01000330,Inland
E01000331,Inland
E01000332,Inland
E01000333,Inland
E01000334,Inland
E01000335,Inland
E01000336,Inland
E01000337,Inland
E01000338,Inland
E01000339,Inland
E01000340,Inland
E01000341,Inland
E01000342,Inland
E01000343,Inland
E01000344,Inland
E01000345,Inland
E01000346,Inland
E01000347,Inland
E01000348,Inland
E01000349,Inland
E01000350,Inland
E01000351,Inland
E01000352,Inland
E01000353,Inland
E01000354,Inland
E01000355,Inland
E01000356,Inland
E01000357,Inland
E01000358,Inland
E01000359,Inland
E01000360,Inland
E01000361,Inland
E01000362,Inland
E01000363,Inland
E01000364,Inland
E01000365,Inland
E01000366,Inland
E01000367,Inland
E01000368,Inland
E01000369,Inland
E01000370,Inland
E01000371,Inland
E01000372,Inland
E01000373,Inland
E01000374,Inland
E01000375,Inland
E01000376,Inland
E01000377,Inland
E01000378,Inland
E01000379,Inland
E01000380,Inland
E01000381,Inland
E01000382,Inland
E01000383,Inland
E01000384,Inland
E01000385,Inland
E01000386,Inland
E01000387,Inland
E01000388,Inland
E01000389,Inland
E01000390,Inland
E01000391,Inland
E01000392,Inland
E01000393,Inland
E01000394,Inland
E01000395,Inland
E01000396,Inland
E01000398,Inland
E01000399,Inland
E01000400,Inland
E01000401,Inland
E01000402,Inland
E01000403,Inland
E01000404,Inland
E01000405,Inland
E01000406,Inland
E01000407,Inland
E01000408,Inland
E01000409,Inland
E01000410,Inland
E01000411,Inland
E01000412,Inland
E01000413,Inland
E01000414,Inland
E01000415,Inland
E01000416,Inland
E01000417,Inland
E01000418,Inland
E01000419,Inland
E01000420,Inland
E01000421,Inland
E01000422,Inland
E01000423,Inland
E01000424,Inland
E01000425,Inland
E01000426,Inland
E01000427,Inland
E01000428,Inland
E01000429,Inland
E01000430,Inland
E01000431,Inland
E01000432,Inland
E01000433,Inland
E01000434,Inland
E01000435,Inland
E01000436,Inland
E01000437,Inland
E01000438,Inland
E01000439,Inland
E01000440,Inland
E01000441,Inland
E01000442,Inland
E01000443,Inland
E01000444,Inland
E01000445,Inland
E01000446,Inland
E01000447,Inland
E01000448,Inland
E01000449,Inland
E01000450,Inland
E01000451,Inland
E01000452,Inland
E01000453,Inland
E01000454,Inland
E01000455,Inland
E01000456,Inland
E01000457,Inland
E01000458,Inland
E01000459,Inland
E01000460,Inland
E01000461,Inland
E01000462,Inland
E01000463,Inland
E01000464,Inland
E01000465,Inland
E01000466,Inland
E01000467,Inland
E01000468,Inland
E01000469,Inland
E01000470,Inland
E01000471,Inland
E01000472,Inland
E01000473,Inland
E01000474,Inland
E01000475,Inland
E01000476,Inland
E01000477,Inland
E01000478,Inland
E01000479,Inland
E01000480,Inland
E01000481,Inland
E01000482,Inland
E01000483,Inland
E01000484,Inland
E01000485,Inland
E01000486,Inland
E01000487,Inland
E01000488,Inland
E01000489,Inland
E01000490,Inland
E01000491,Inland
E01000492,Inland
E01000493,Inland
E01000494,Inland
E01000495,Inland
E01000497,Inland
E01000498,Inland
E01000499,Inland
E01000501,Inland
E01000502,Inland
E01000503,Inland
E01000504,Inland
E01000505,Inland
E01000506,Inland
E01000507,Inland
E01000508,Inland
E01000509,Inland
E01000510,Inland
E01000511,Inland
E01000512,Inland
E01000513,Inland
E01000514,Inland
E01000515,Inland
E01000516,Inland
E01000517,Inland
E01000518,Inland
E01000519,Inland
E01000520,Inland
E01000521,Inland
E01000522,Inland
E01000523,Inland
E01000524,Inland
E01000525,Inland
E01000526,Inland
E01000527,Inland
E01000528,Inland
E01000530,Inland
E01000531,Inland
E01000532,Inland
E01000533,Inland
E01000534,Inland
E01000535,Inland
E01000536,Inland
E01000538,Inland
E01000539,Inland
E01000540,Inland
E01000541,Inland
E01000543,Inland
E01000544,Inland
E01000545,Inland
E01000546,Inland
E01000547,Inland
E01000548,Inland
E01000549,Inland
E01000550,Inland
E01000551,Inland
E01000552,Inland
E01000553,Inland
E01000554,Inland
E01000555,Inland
E01000556,Inland
E01000557,Inland
E01000558,Inland
E01000559,Inland
E01000560,Inland
E01000561,Inland
E01000562,Inland
E01000563,Inland
E01000564,Inland
E01000565,Inland
E01000566,Inland
E01000567,Inland
E01000568,Inland
E01000569,Inland
E01000570,Inland
E01000571,Inland
E01000572,Inland
E01000573,Inland
E01000574,Inland
E01000575,Inland
E01000576,Inland
E01000577,Inland
E01000578,Inland
E01000579,Inland
E01000580,Inland
E01000581,Inland
E01000582,Inland
E01000583,Inland
E01000584,Inland
E01000585,Inland
E01000586,Inland
E01000587,Inland
E01000588,Inland
E01000589,Inland
E01000590,Inland
E01000591,Inland
E01000592,Inland
E01000593,Inland
E01000594,Inland
E01000595,Inland
E01000596,Inland
E01000599,Inland
E01000600,Inland
E01000601,Inland
E01000602,Inland
E01000603,Inland
E01000604,Inland
E01000605,Inland
E01000606,Inland
E01000607,Inland
E01000608,Inland
E01000609,Inland
E01000610,Inland
E01000611,Inland
E01000612,Inland
E01000613,Inland
E01000615,Inland
E01000616,Inland
E01000617,Inland
E01000618,Inland
E01000619,Inland
E01000620,Inland
E01000621,Inland
E01000622,Inland
E01000623,Inland
E01000624,Inland
E01000625,Inland
E01000626,Inland
E01000627,Inland
E01000628,Inland
E01000629,Inland
E01000630,Inland
E01000631,Inland
E01000632,Inland
E01000633,Inland
E01000634,Inland
E01000635,Inland
E01000636,Inland
E01000637,Inland
E01000638,Inland
E01000639,Inland
E01000640,Inland
E01000641,Inland
E01000642,Inland
E01000643,Inland
E01000644,Inland
E01000645,Inland
E01000646,Inland
E01000647,Inland
E01000648,Inland
E01000649,Inland
E01000650,Inland
E01000651,Inland
E01000652,Inland
E01000653,Inland
E01000654,Inland
E01000655,Inland
E01000656,Inland
E01000657,Inland
E01000658,Inland
E01000659,Inland
E01000661,Inland
E01000662,Inland
E01000663,Inland
E01000664,Inland
E01000665,Inland
E01000666,Inland
E01000667,Inland
E01000668,Inland
E01000669,Inland
E01000670,Inland
E01000671,Inland
E01000672,Inland
E01000673,Inland
E01000674,Inland
E01000675,Inland
E01000676,Inland
E01000677,Inland
E01000678,Inland
E01000679,Inland
E01000680,Inland
E01000681,Inland
E01000682,Inland
E01000683,Inland
E01000684,Inland
E01000685,Inland
E01000686,Inland
E01000687,Inland
E01000688,Inland
E01000689,Inland
E01000690,Inland
E01000691,Inland
E01000692,Inland
E01000693,Inland
E01000694,Inland
E01000695,Inland
E01000696,Inland
E01000697,Inland
E01000698,Inland
E01000699,Inland
E01000700,Inland
E01000701,Inland
E01000702,Inland
E01000703,Inland
E01000704,Inland
E01000705,Inland
E01000706,Inland
E01000707,Inland
E01000708,Inland
E01000709,Inland
E01000710,Inland
E01000711,Inland
E01000712,Inland
E01000713,Inland
E01000714,Inland
E01000715,Inland
E01000716,Inland
E01000717,Inland
E01000718,Inland
E01000719,Inland
E01000720,Inland
E01000721,Inland
E01000722,Inland
E01000723,Inland
E01000724,Inland
E01000725,Inland
E01000726,Inland
E01000727,Inland
E01000728,Inland
E01000729,Inland
E01000730,Inland
E01000731,Inland
E01000732,Inland
E01000733,Inland
E01000734,Inland
E01000735,Inland
E01000736,Inland
E01000737,Inland
E01000738,Inland
E01000739,Inland
E01000740,Inland
E01000741,Inland
E01000742,Inland
E01000743,Inland
E01000744,Inland
E01000745,Inland
E01000746,Inland
E01000747,Inland
E01000748,Inland
E01000749,Inland
E01000750,Inland
E01000751,Inland
E01000752,Inland
E01000753,Inland
E01000754,Inland
E01000755,Inland
E01000756,Inland
E01000757,Inland
E01000758,Inland
E01000759,Inland
E01000760,Inland
E01000761,Inland
E01000762,Inland
E01000763,Inland
E01000764,Inland
E01000765,Inland
E01000766,Inland
E01000767,Inland
E01000768,Inland
E01000769,Inland
E01000770,Inland
E01000771,Inland
E01000772,Inland
E01000773,Inland
E01000774,Inland
E01000775,Inland
E01000777,Inland
E01000778,Inland
E01000779,Inland
E01000780,Inland
E01000781,Inland
E01000782,Inland
E01000783,Inland
E01000784,Inland
E01000785,Inland
E01000786,Inland
E01000787,Inland
E01000788,Inland
E01000789,Inland
E01000790,Inland
E01000791,Inland
E01000792,Inland
E01000793,Inland
E01000794,Inland
E01000795,Inland
E01000796,Inland
E01000797,Inland
E01000798,Inland
E01000799,Inland
E01000800,Inland
E01000801,Inland
E01000802,Inland
E01000803,Inland
E01000804,Inland
E01000805,Inland
E01000806,Inland
E01000807,Inland
E01000808,Inland
E01000809,Inland
E01000810,Inland
E01000811,Inland
E01000812,Inland
E01000813,Inland
E01000814,Inland
E01000815,Inland
E01000816,Inland
E01000818,Inland
E01000819,Inland
E01000820,Inland
E01000822,Inland
E01000823,Inland
E01000824,Inland
E01000825,Inland
E01000826,Inland
E01000827,Inland
E01000828,Inland
E01000829,Inland
E01000830,Inland
E01000831,Inland
E01000832,Inland
E01000833,Inland
E01000834,Inland
E01000835,Inland
E01000836,Inland
E01000837,Inland
E01000838,Inland
E01000839,Inland
E01000840,Inland
E01000841,Inland
E01000842,Inland
E01000843,Inland
E01000844,Inland
E01000845,Inland
E01000846,Inland
E01000847,Inland
E01000848,Inland
E01000849,Inland
E01000850,Inland
E01000851,Inland
E01000852,Inland
E01000853,Inland
E01000854,Inland
E01000855,Inland
E01000856,Inland
E01000857,Inland
E01000858,Inland
E01000859,Inland
E01000860,Inland
E01000861,Inland
E01000862,Inland
E01000863,Inland
E01000864,Inland
E01000865,Inland
E01000866,Inland
E01000867,Inland
E01000868,Inland
E01000869,Inland
E01000870,Inland
E01000871,Inland
E01000872,Inland
E01000873,Inland
E01000874,Inland
E01000875,Inland
E01000876,Inland
E01000877,Inland
E01000878,Inland
E01000879,Inland
E01000880,Inland
E01000881,Inland
E01000882,Inland
E01000883,Inland
E01000884,Inland
E01000885,Inland
E01000886,Inland
E01000887,Inland
E01000888,Inland
E01000889,Inland
E01000890,Inland
E01000891,Inland
E01000892,Inland
E01000893,Inland
E01000894,Inland
E01000895,Inland
E01000896,Inland
E01000897,Inland
E01000898,Inland
E01000899,Inland
E01000900,Inland
E01000901,Inland
E01000902,Inland
E01000903,Inland
E01000904,Inland
E01000905,Inland
E01000906,Inland
E01000907,Inland
E01000908,Inland
E01000909,Inland
E01000910,Inland
E01000911,Inland
E01000912,Inland
E01000913,Inland
E01000914,Inland
E01000915,Inland
E01000916,Inland
E01000917,Inland
E01000918,Inland
E01000919,Inland
E01000920,Inland
E01000921,Inland
E01000922,Inland
E01000923,Inland
E01000924,Inland
E01000925,Inland
E01000926,Inland
E01000927,Inland
E01000928,Inland
E01000929,Inland
E01000930,Inland
E01000931,Inland
E01000932,Inland
E01000933,Inland
E01000934,Inland
